region,iso3
Europe & Central Asia,CZE
Europe & Central Asia,CYP
Europe & Central Asia,SMR
Europe & Central Asia,ITA
Europe & Central Asia,ROM
Europe & Central Asia,TKM
Europe & Central Asia,TUR
Europe & Central Asia,MDA
Europe & Central Asia,UKR
Europe & Central Asia,MCO
Europe & Central Asia,RUS
Europe & Central Asia,IRL
Latin America & Caribbean,SXM
Latin America & Caribbean,NIC
Latin America & Caribbean,PAN
Latin America & Caribbean,JAM
Latin America & Caribbean,MEX
Latin America & Caribbean,SUR
Latin America & Caribbean,CUB
Latin America & Caribbean,DMA
Latin America & Caribbean,CUW
Latin America & Caribbean,CRI
Latin America & Caribbean,TCA
Latin America & Caribbean,COL
Latin America & Caribbean,CHL
Latin America & Caribbean,CYM
Latin America & Caribbean,URY
Latin America & Caribbean,BRA
Latin America & Caribbean,BOL
Latin America & Caribbean,VEN
Latin America & Caribbean,BLZ
Latin America & Caribbean,BRB
Latin America & Caribbean,BHS
Latin America & Caribbean,ABW
Latin America & Caribbean,ARG
Latin America & Caribbean,ATG
Latin America & Caribbean,DOM
Latin America & Caribbean,ECU
Latin America & Caribbean,PER
Latin America & Caribbean,SLV
Latin America & Caribbean,LCA
Latin America & Caribbean,GUY
Latin America & Caribbean,HTI
Latin America & Caribbean,TTO
Latin America & Caribbean,KNA
Latin America & Caribbean,GTM
Latin America & Caribbean,HND
Latin America & Caribbean,VCT
Latin America & Caribbean,GRD
Latin America & Caribbean,PRY
Middle East & North Africa,JOR
Middle East & North Africa,OMN
Middle East & North Africa,IRN
Middle East & North Africa,YEM
Middle East & North Africa,DZA
Middle East & North Africa,BHR
Middle East & North Africa,QAT
Middle East & North Africa,KWT
Middle East & North Africa,MAR
Middle East & North Africa,ARE
Middle East & North Africa,LBN
Middle East & North Africa,SYR
Middle East & North Africa,TUN
Middle East & North Africa,IRQ
Middle East & North Africa,MLT
Middle East & North Africa,SAU
Middle East & North Africa,DJI
Middle East & North Africa,LBY
Middle East & North Africa,EGY
Middle East & North Africa,ISR
North America,USA
North America,CAN
North America,BMU
South Asia,LKA
South Asia,AFG
South Asia,NPL
South Asia,BGD
South Asia,BTN
South Asia,IND
South Asia,MDV
South Asia,PAK
Sub-Saharan Africa,NGA
Sub-Saharan Africa,ETH
Sub-Saharan Africa,TZA
Sub-Saharan Africa,SWZ
Sub-Saharan Africa,TGO
Sub-Saharan Africa,ERI
Sub-Saharan Africa,GNQ
Sub-Saharan Africa,CIV
Sub-Saharan Africa,COG
Sub-Saharan Africa,ZAR
Sub-Saharan Africa,UGA
Sub-Saharan Africa,TCD
Sub-Saharan Africa,CAF
Sub-Saharan Africa,CPV
Sub-Saharan Africa,CMR
Sub-Saharan Africa,BDI
Sub-Saharan Africa,BFA
Sub-Saharan Africa,BWA
Sub-Saharan Africa,BEN
Sub-Saharan Africa,AGO
Sub-Saharan Africa,COM
Sub-Saharan Africa,SDN
Sub-Saharan Africa,GHA
Sub-Saharan Africa,GMB
Sub-Saharan Africa,NER
Sub-Saharan Africa,NAM
Sub-Saharan Africa,MOZ
Sub-Saharan Africa,RWA
Sub-Saharan Africa,MUS
Sub-Saharan Africa,MRT
Sub-Saharan Africa,MLI
Sub-Saharan Africa,STP
Sub-Saharan Africa,SEN
Sub-Saharan Africa,SYC
Sub-Saharan Africa,GAB
Sub-Saharan Africa,SLE
Sub-Saharan Africa,MDG
Sub-Saharan Africa,LBR
Sub-Saharan Africa,LSO
Sub-Saharan Africa,SOM
Sub-Saharan Africa,ZAF
Sub-Saharan Africa,SSD
Sub-Saharan Africa,ZMB
Sub-Saharan Africa,KEN
Sub-Saharan Africa,GNB
Sub-Saharan Africa,GIN
Sub-Saharan Africa,MWI
Sub-Saharan Africa,ZWE
